Stem,Definition,Examples
-trexate,Antimetabolites (folic acid derivatives),methotrexate
-trexed,Antineoplastic thymidylate synthetase inhibitors,pemetrexed; ralitrexed; nolatrexed
-tricin,Antibiotics (polyene derivatives),mepartricin
"-tril, -trilat",Endopeptidase inhibitors,candoxatril; candoxatrilat
-triptan,Antimigraine agents (5-HT1 receptor agonists),naratriptan; oxitriptan; sumatriptan
-triptyline,"Antidepressants (dibenzo[a,d]cycloheptane derivatives)",amitriptyline
-troban,Antithrombotics (thromboxane A2 receptor antagonists),daltroban; sulotroban
-trodast,(see -ast),
-troline,Antipsychotics (dopamine D2 antagonists),carvotroline; gevotroline
-trombopag,Thrombopoetin agonists,eltrombopag
"trop-, -trop-",Atropine derivatives,benztropine
-uclin,Mucosal tolerance inhibitors,
-uplase,(see -ase),
-uracil,Uracil derivatives used as thyroid antagonists and as antineoplastics,fluorouracil
-uridine,Antivirals; antineoplastics (uridine derivatives),idoxuridine
-vaptan,Vasopressin receptor antagonists,conivaptan; relcovaptan
-vastatin,(see -stat),
-verine,Spasmolytic agents (papaverine type),mebeverine
"vin-, -vin-",Vinca alkaloids,vinepidine; apovincamine
"vir-, -vir-, -vir",Antiviral substances (undefined group),ganciclovir; enviradine; viroxime; alvircept; delavirdine
subgroups:,,
-amivir,Antiviral substances; neuraminidase inhibitors,zanamivir
-cavir,Antiviral substances; carbocyclic nucleosides,lobucavir
-cyclovir,Antiviral substances; (acyclovir type),acyclovir
-ciclovir,Antiviral substances; (acyclovir type),desciclovir; famciclovir; penciclovir
-gosivir,Antiviral substances; glucosidase inhibitor,celgosivir
-navir,Antiviral substances; HIV protease inhibitors (saquinavir type),droxinavir; indinavir; ritonavir
-virdine,Antiviral substances; (non-nucleoside reverse transcriptase inhibitors; pyridine derivatives),atevirdine; delevirdine
-virenz,Antivirals (non-nucleoside reverse transcriptase inhibitors; benzoxazinone derivatives),efavirenz
-virsen,Antivirals (antisense),afovirsen; fomivirsen; trecovirsen
-vircept,(see -cept),
-virdine,(see -vir),
-virenz,(see -vir),
-virimat,"Antiviral, disrupts viral maturation",bevirimat
-viroc,CCR5 antagonists,maraviroc
subgroup:,,
-criviroc,"CCR5 antagonists, immunomodulators",ancriviroc
-vudine,Antineoplastics; antivirals (zidovudine group) (exception: edoxudine),stavudine; lamivudine; alovudine
-xaban,Anticoagulant (Factor Xa inhibitor),tamixaban
-xanox,Antiallergic respiratory tract drugs (xanoxic acid derivatives),tixanox
-(x)antrone,"Antineoplastics, mitoxantrone derivatives aza-anthracenedione class of antitumor agents",pixantrone
-zolamide,Carbonic anhydrase inhibitors,brinzolamide; dorzolamide; sezolamide
-zolast,(see -ast),
-zomib,Proteozome inhibitors,bortezomib
-zotan,5-HT1A receptor agonists/antagonists acting primarily as neuroprotectors,robalzotan; sarizotan; ibalzotan; lecozotan
